Type,Titles (CIVIL SERVICE and non-civil service),Standard Titles,Area
Public Library,SR LIBRARY CLERK,Senior Library Clerk,Building/Custodial Staff
Public Library,SR TYPIST-CLERK,Senior Library Clerk,Building/Custodial Staff
Public Library,SR. LIBRARY CLERK,Senior Library Clerk,Building/Custodial Staff
Public Library,supervisor (librarian),Librarian II (Dept Head),Librarian
Public Library,supervisor (non-librarian),Supervisor,Support Staff
Public Library,tech assistant,Technical Support Aide,Information Technology
Public Library,tech support specialist,Technology Coordinator,Information Technology
Public Library,TECHNICAL SERVICES AIDE,Technical Support Aide,Information Technology
Public Library,TECHNICAL SUPPORT AIDE,Technical Support Aide,Information Technology
Public Library,TECHNOLOGY COORDINATOR,Technology Coordinator,Information Technology
Public Library,teen services coordinator,Librarian I,Librarian
Public Library,TREASURER ,Treasurer,Library Administration
Public Library,TREASURER (BUSINESS MANAGER),Treasurer,Library Administration
Public Library,TYPIST CLERK,Library Clerk,Support Staff
Public Library,TYPIST CLERK - FULL TIME (AGA),Library Clerk,Support Staff
Public Library,TYPIST CLERK (AFL/AFT),Library Clerk,Support Staff
Public Library,TYPIST CLERK (P/T),Library Clerk,Support Staff
Public Library,TYPIST-CLERK,Library Clerk,Support Staff
Public Library,TYPIST-CLERK ,Library Clerk,Support Staff
Public Library,"TYPIST-CLERK (AGA, AFL, AFT, AGB) ",Library Clerk,Support Staff
Public Library,TYPIST-CLERK (AGA),Library Clerk,Support Staff
Public Library,TYPIST-CLERK (PART-TIME),Library Clerk,Support Staff
Public Library,TYPIST-CLERK COMPET. ,Library Clerk,Support Staff
Public Library,TYPIST-CLERK P/T,Library Clerk,Support Staff
Public Library,TYPIST-CLERK PART-TIME,Library Clerk,Support Staff
Public Library,TYPIST-CLERK PT,Library Clerk,Support Staff
Public Library,"TYPIST-CLERK, BILINGUAL P/T (AFG)",Library Clerk,Support Staff
Public Library,"TYPIST-CLERK, BILINGUAL SPANISH (AFN)",Library Clerk,Support Staff
Public Library,"TYPIST-CLERK, P/T  NON-COMPETITIVE (AFT)",Library Clerk,Support Staff
Public Library,"TYPIST-CLERK, P/T (AFL)",Library Clerk,Support Staff
Public Library,WEBSITE MANAGER,Website Manager,Marketing
Public Library,WEBSITE MGR ,Website Manager,Marketing
Public Library,WQF LIBRARY MONITOR,Monitor,Support Staff
School Library,ASSOCIATE LIBRARIAN,School Media Specialist,Librarian
School Library,HEAD OF CHILDREN SERVICES,Librarian II (Dept Head),Librarian
School Library,librarian,School Media Specialist,Librarian
School Library,library media specialist,School Media Specialist,Librarian
School Library,LIBRARY MEDIA SPECIALIST,School Media Specialist,Librarian
School Library,"LIBRARY MEDIA SPECIALIST, HIGH SCHOOL",School Media Specialist,Librarian
School Library,library media specialist/stem teacher,School Media Specialist,Librarian
School Library,SCHOOL LIBRARIAN,School Media Specialist,Librarian
School Library,school librarian,School Media Specialist,Librarian
School Library,school library media specialist,School Media Specialist,Librarian
School Library,SCHOOL LIBRARY MEDIA SPECIALIST,School Media Specialist,Librarian
School Library,school media specialist,School Media Specialist,Librarian
School Library,SCHOOL MEDIA SPECIALIST,School Media Specialist,Librarian
School Library,"supervisor, nassau boces school library system",Director,Library Administration
Special Library,ELECTRONIC RESOURCES LIBRARIAN,Librarian I,Librarian
Special Library,librarian,Librarian I,Librarian
